audio_file	sentence	original_sentence	spanish_sentence	lid_tokens	split	speaker
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_4870.0-6190.0.wav	quenin tipanotoc	kenin ti panotok	como estas	quenin//nhi tipanotoc//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_6910.0-7620.0.wav	quema	kema	si	quema//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_10850.0-11400.0.wav	quema	kema	si	quema//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_12655.0-14305.0.wav	yeh cuali, noyiuqui	yej kuali, nuyujki	tambien bien	yeh//nhi cuali,//nhi noyiuqui//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_15320.0-18200.0.wav	ica nin tonaltzin tona chicauac	ika nin tunaltsi tuna chikahuak	con este sol, hace mucho calor	ica//nhi nin//nhi tonaltzin//nhi tona//nhi chicauac//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_19285.0-24225.0.wav	yalua mox yopehpeuaya tzocotzin quiyouitl uan ocsipa neneh san omonacteh yopeu eheca	yaljua mux yu pejpehuaya tsokotsi kiyuitl huan oksipa nenej, san u mu nakte yupeuh ejeka	ayer esque ya empezaba un poco la lluvia y otra vez este solo se detuvo y empezo a hacer aire	yalua//nhi mox//nhi yopehpeuaya//nhi tzocotzin//nhi quiyouitl//nhi uan//nhi ocsipa//nhi neneh//nhi san//nhi omonacteh//nhi yopeu//nhi eheca//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_33905.0-37965.0.wav	quihtoa mox yi yen casi xa yeh nin quisa ya nin semana yi tlamis tlapoual xamo	kijtua mux yi yen kasi  xa ye nin kisa yan semana yi tlamis tlapuhual xamo	dicen que ya casi solo que salgamos esta semana ya se termina el mes verdad	quihtoa//nhi mox//nhi yi//nhi yen//nhi casi//nhi xa//nhi yeh//nhi nin//nhi quisa//nhi ya//nhi nin//nhi semana//spa yi//nhi tlamis//nhi tlapoual//nhi xamo//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_39395.0-47355.0.wav	quihtohtoqueh xiquita nen maestras quihtohtoqueh mox ya ya yasqueh este quemeh quiteneua mox consejo tlenoh quinmacah	kijtojtoke ixkita ne maestras kijtojtoke mux ya, yaskeh este keme ki tenehua mux consejo tlenoj kin maka	estan diciendo, ve las maestras estan diciendo, que ya, ya se van a ir este le nombran como consejo que les dan	quihtohtoqueh//nhi xiquita//nhi nen//nhi maestras//spa quihtohtoqueh//nhi mox//nhi ya//spa ya//spa yasqueh//spa este//spa quemeh//adapted-spanish-loan quiteneua//nhi mox//nhi consejo//spa tlenoh//nhi quinmacah//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_50445.0-51535.0.wav	yen viernes	yen viernes	el viernes	yen//nhi viernes//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_56955.0-57715.0.wav	quemaniyah	kemania	que dia	quemaniyah//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_58880.0-61050.0.wav	de nen tzotzocotzitzin	de nen tsotsokotsitsi	de los chiquititos	de//spa nen//nhi tzotzocotzitzin//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_72040.0-74560.0.wav	mox aquin otlapahpac nin otiualpanoqueh	mux aki u tlapajpak  nin u ti hualpanuke	apoco, quien lavo este que pasamos	mox//nhi aquin//nhi otlapahpac//nhi nin//nhi otiualpanoqueh//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_75680.0-76780.0.wav	uan amo oyectlapahpac	uan amo u yek tlapajpak	y no lavo bien	uan//nhi amo//nhi oyectlapahpac//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_79005.0-87695.0.wav	pero a poco nen a poco neneh Yesenia amo youi quemeh tlachiati checaroti quenin mox cualtzin mochiuah in cosas o amo	pero apoco nen, apoco nene   Yesenia amo yuhui keme tlachiati chekaruti kenin mux kualtsin mu chihuan cosas o amo	pero apoco este, apoco este, yesenia no va a ver, revisar si se hacen bien las cosas o no	pero//spa a//spa poco//spa nen//nhi a//spa poco//spa neneh//nhi Yesenia//NE-Person amo//nhi youi//nhi quemeh//adapted-spanish-loan tlachiati//nhi checaroti//mixed quenin//nhi mox//nhi cualtzin//nhi mochiuah//nhi in//nhi cosas//spa o//spa amo//nhi	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_95630.0-97830.0.wav	yehuatl ica non oualehcoca nen	yehual ikanun u hualejkuka nen	por eso habia subido este	yehuatl//nhi ica//nhi non//nhi oualehcoca//nhi nen//nhi	test	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_104405.0-105835.0.wav	tons no nictemacas maestra	tos nu nik temakas maestra	entonces eso le entrego a la maestra	tons//spa no//nhi nictemacas//nhi maestra//spa	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_106890.0-108890.0.wav	xa yen viernes tla yas Tetela	xa yen viernes tla yas tetela	alomejor el viernes que va a ir a tetela	xa//nhi yen//nhi viernes//spa tla//nhi yas//nhi Tetela//NE-Place	train	ZWZ835
speaker1_Tetel_Narra_ZWZ835_WWT836_2022-05-25-a_116730.0-121360.0.wav	neh oniyahca pero no... este non xiquita otiualahqueh amo tlen onictlahtlaneh	ne u ni ajka pero nu este , nun ixkita u ti hualajke amo tlen o nik tlajtlane	yo habia ido pero no este, vez que venimos igual no le pregunte nada	neh//nhi oniyahca//nhi pero//spa no...//nhi este//spa non//nhi xiquita//nhi otiualahqueh//nhi amo//nhi tlen//nhi onictlahtlaneh//nhi	train	ZWZ835
